year,county,facilityType,vmt,laneMiles,minElast,maxElast
2018,FREDERICK,Rural Minor Arterial,125,130.20399,0.5,0.7
2018,FREDERICK,Rural Collector (Major and Minor),176,446.552,0.5,0.7
2018,FREDERICK,Rural Local,165,1359.621,0.3,0.5
2018,FREDERICK,Urban Interstate/Freeway/Expressway,0,271.25299,0.7,1
2018,FREDERICK,Urban Primary Arterial - Other,127,50.012001,0.7,1
2018,FREDERICK,Urban Minor Arterial,293,188.004,0.5,0.7
2018,FREDERICK,Urban Collector (Major and Minor),330,350.97601,0.5,0.7
2018,FREDERICK,Urban Local,146,1267.8361,0.3,0.5
2018,GARRETT,Rural Interstate/Freeway/Expressway,193,148.87399,0.7,1
2018,GARRETT,Rural Primary Arterial - Other,98,94.938004,0.7,1
2018,GARRETT,Rural Minor Arterial,64,117.914,0.5,0.7
2018,GARRETT,Rural Collector (Major and Minor),86,434.23001,0.5,0.7
2018,GARRETT,Rural Local,86,1179.16,0.3,0.5
2018,GARRETT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2018,GARRETT,Urban Primary Arterial - Other,0,0,0.7,1
2018,GARRETT,Urban Minor Arterial,1,2.428,0.5,0.7
2018,GARRETT,Urban Collector (Major and Minor),0,0.98000002,0.5,0.7
2018,GARRETT,Urban Local,0,5.7919998,0.3,0.5
2018,HARFORD,Rural Interstate/Freeway/Expressway,70,13.38,0.7,1
2018,HARFORD,Rural Primary Arterial - Other,79,34.799999,0.7,1
2018,HARFORD,Rural Minor Arterial,139,85.974998,0.5,0.7
2018,HARFORD,Rural Collector (Major and Minor),148,293.64999,0.5,0.7
2018,HARFORD,Rural Local,81,717.39502,0.3,0.5
2018,HARFORD,Urban Interstate/Freeway/Expressway,858,145.685,0.7,1
2018,HARFORD,Urban Primary Arterial - Other,367,143.677,0.7,1
2018,HARFORD,Urban Minor Arterial,377,156.91,0.5,0.7
2018,HARFORD,Urban Collector (Major and Minor),325,313.15201,0.5,0.7
2018,HARFORD,Urban Local,136,1256.4611,0.3,0.5
2018,HOWARD,Rural Interstate/Freeway/Expressway,328,67.428001,0.7,1
2018,HOWARD,Rural Primary Arterial - Other,107,26.643999,0.7,1
2018,HOWARD,Rural Minor Arterial,35,15.702,0.5,0.7
2018,HOWARD,Rural Collector (Major and Minor),103,125.961,0.5,0.7
2018,HOWARD,Rural Local,114,430.686,0.3,0.5
2018,HOWARD,Urban Interstate/Freeway/Expressway,0,320.371,0.7,1
2018,HOWARD,Urban Primary Arterial - Other,276,85.825996,0.7,1
2018,HOWARD,Urban Minor Arterial,493,196.57201,0.5,0.7
2018,HOWARD,Urban Collector (Major and Minor),350,248.061,0.5,0.7
2018,HOWARD,Urban Local,242,1326.535,0.3,0.5
2018,KENT,Rural Interstate/Freeway/Expressway,32,34.860001,0.7,1
2018,KENT,Rural Primary Arterial - Other,0,0,0.7,1
2018,KENT,Rural Minor Arterial,26,35.68,0.5,0.7
2018,KENT,Rural Collector (Major and Minor),95,254.26801,0.5,0.7
2018,KENT,Rural Local,27,572.39398,0.3,0.5
2018,KENT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2018,KENT,Urban Primary Arterial - Other,0,0,0.7,1
2018,KENT,Urban Minor Arterial,15,6.75,0.5,0.7
